arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
src/supervision/config.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/annotators/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/annotators/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/assets/list.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/assets/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/classification/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/dataset/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/dataset/formats/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/detection/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/detection/tools/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/detection/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/draw/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/draw/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/geometry/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/keypoint/annotators.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/keypoint/core.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/keypoint/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/key_points/skeletons.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/key_points/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/metrics/core.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/metrics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/metrics/utils/utils.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/metrics/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/utils/conversion.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/__init__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
src/supervision/tracker/byte_tracker/utils.py,arquivo,,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
src/supervision/utils/logger.py,arquivo,,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
src/supervision/assets/downloader.py,arquivo,,3,7,5,7,10,12,24.4064,39.8631,1.5,59.7947,3.3219,0.0133
src/supervision/utils/iterables.py,arquivo,,4,8,4,8,12,12,32.0,43.0196,2.0,86.0391,4.78,0.0143
src/supervision/geometry/utils.py,arquivo,,4,10,6,11,14,17,41.2193,64.725,2.2,142.3951,7.9108,0.0216
